=== Run information ===

Scheme:       weka.classifiers.functions.MultilayerPerceptron -L 0.2 -M 0.2 -N 10 -V 0 -S 0 -E 20 -H a -G -R
Relation:     ds2Train-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last
Instances:    6400
Attributes:   1025
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Predictions on test set ===

    inst#     actual  predicted error prediction
      846        9:8        9:8       0.998 
      847        9:8        9:8       0.997 
      848        2:1        2:1       0.999 
      849        2:1        2:1       1 
      850        5:4        5:4       0.948 
      851       10:9       10:9       0.96 
      852        6:5        6:5       0.988 
      853       10:9       10:9       0.997 
      854        2:1        2:1       0.976 
      855        9:8        9:8       0.996 
      856       10:9       10:9       0.997 
      857        7:6        7:6       0.948 
      858        6:5        6:5       0.989 
      859        9:8        9:8       0.983 
      860        5:4        5:4       0.985 
      861        2:1        2:1       0.992 
      862       10:9       10:9       0.839 
      863       10:9       10:9       0.972 
      864       10:9       10:9       0.998 
      865        6:5        6:5       0.877 
      866        1:0        1:0       0.999 
      867        9:8        9:8       0.993 
      868        9:8        9:8       0.994 
      869        8:7        1:0   +   0.804 
      870       10:9       10:9       0.98 
      871        2:1        2:1       0.966 
      872        2:1        2:1       0.919 
      873        4:3        4:3       0.898 
      874        1:0        1:0       0.706 
      875        1:0        1:0       0.999 
      876        6:5        6:5       0.997 
      877        6:5        6:5       0.999 
      878        6:5        6:5       0.994 
      879        1:0        1:0       0.836 
      880       10:9       10:9       0.994 
      881        5:4        5:4       0.98 
      882        3:2        3:2       0.937 
      883       10:9       10:9       1 
      884       10:9       10:9       0.997 
      885        6:5        6:5       0.994 
      886        6:5        6:5       0.912 
      887        2:1        2:1       1 
      888        2:1        2:1       0.999 
      889        5:4       10:9   +   0.989 
      890        6:5        6:5       0.995 
      891        1:0        1:0       0.998 
      892        2:1        2:1       1 
      893       10:9       10:9       1 
      894        2:1        2:1       0.997 
      895       10:9       10:9       0.727 
      896       10:9       10:9       0.724 
      897       10:9       10:9       0.998 
      898       10:9       10:9       0.993 
      899        9:8        9:8       0.994 
      900        2:1        2:1       0.998 
      901        2:1        2:1       0.995 
      902       10:9       10:9       0.999 
      903        1:0        1:0       0.985 
      904        5:4        5:4       0.996 
      905       10:9       10:9       0.705 
      906       10:9       10:9       0.998 
      907       10:9       10:9       0.717 
      908        8:7        8:7       1 
      909        6:5        6:5       0.995 
      910        5:4        5:4       0.978 
      911       10:9       10:9       1 
      912        1:0        1:0       0.779 
      913       10:9       10:9       0.428 
      914       10:9       10:9       0.997 
      915        1:0        1:0       0.857 
      916       10:9       10:9       0.989 
      917        2:1        2:1       0.994 
      918       10:9       10:9       0.791 
      919       10:9       10:9       0.743 
      920        9:8        9:8       0.995 
      921        2:1        2:1       0.992 
      922        9:8        9:8       0.993 
      923        3:2        3:2       0.999 
      924       10:9       10:9       0.989 
      925        6:5        6:5       0.998 
      926        9:8        9:8       0.965 
      927        4:3        4:3       0.987 
      928        9:8        9:8       0.83 
      929        2:1        2:1       0.738 
      930       10:9       10:9       0.872 
      931       10:9       10:9       0.986 
      932        9:8        9:8       0.987 
      933        6:5        6:5       0.93 
      934        1:0        9:8   +   0.519 
      935       10:9       10:9       0.994 
      936        2:1        2:1       0.998 
      937        4:3        4:3       0.873 
      938        2:1        2:1       0.922 
      939        2:1        2:1       0.999 
      940        5:4        5:4       0.991 
      941        6:5        6:5       0.995 
      942        2:1        2:1       0.993 
      943       10:9       10:9       0.973 
      944        2:1        2:1       0.999 
      945        5:4        5:4       0.958 
      946        4:3        4:3       0.962 
      947        6:5        6:5       0.996 
      948       10:9       10:9       0.985 
      949        2:1        2:1       1 
      950        2:1        2:1       1 
      951       10:9       10:9       0.513 
      952       10:9       10:9       1 
      953       10:9       10:9       0.998 
      954        6:5       10:9   +   0.903 
      955        7:6        7:6       0.868 
      956        9:8        9:8       0.99 
      957        5:4        5:4       0.97 
      958        6:5        6:5       0.995 
      959        5:4        5:4       0.998 
      960        2:1        2:1       1 
      961        2:1        2:1       1 
      962        2:1        2:1       0.999 
      963        2:1        2:1       1 
      964       10:9       10:9       0.847 
      965       10:9       10:9       0.959 
      966        6:5        6:5       0.998 
      967        4:3        4:3       0.874 
      968       10:9       10:9       0.999 
      969        9:8        9:8       0.995 
      970       10:9       10:9       0.997 
      971        2:1        2:1       1 
      972        2:1        2:1       0.999 
      973        1:0        1:0       0.991 
      974        6:5        6:5       0.977 
      975       10:9       10:9       1 
      976        8:7        8:7       0.999 
      977        2:1        5:4   +   0.976 
      978        1:0        1:0       0.995 
      979        2:1        2:1       0.992 
      980        3:2        3:2       0.857 
      981        9:8        9:8       0.999 
      982       10:9       10:9       1 
      983       10:9       10:9       0.969 
      984        1:0        1:0       0.895 
      985        7:6        7:6       0.955 
      986        1:0        1:0       0.943 
      987        9:8        9:8       0.989 
      988       10:9       10:9       0.927 
      989        1:0        1:0       0.999 
      990       10:9       10:9       0.985 
      991        7:6        7:6       0.758 
      992       10:9       10:9       0.997 
      993        6:5        6:5       0.648 
      994        6:5        6:5       0.979 
      995        4:3        4:3       0.948 
      996       10:9       10:9       0.984 
      997       10:9       10:9       0.973 
      998       10:9       10:9       0.991 
      999       10:9       10:9       1 
     1000        9:8        9:8       0.985 
     1001        4:3        4:3       0.989 
     1002       10:9       10:9       0.998 
     1003        5:4        5:4       0.953 
     1004        1:0        1:0       0.997 
     1005       10:9       10:9       0.999 
     1006        6:5        6:5       0.999 
     1007        2:1        2:1       0.987 
     1008        2:1        2:1       0.996 
     1009       10:9       10:9       0.998 
     1010        6:5        6:5       0.998 
     1011        5:4        5:4       0.993 
     1012        2:1        2:1       0.996 
     1013       10:9       10:9       0.999 
     1014        7:6        7:6       0.835 
     1015        2:1        2:1       0.992 
     1016        1:0        1:0       0.989 
     1017        7:6        7:6       0.954 
     1018       10:9       10:9       1 
     1019        1:0        1:0       0.998 
     1020        2:1        2:1       0.999 
     1021        5:4        5:4       0.992 
     1022        2:1        2:1       0.995 
     1023        1:0        1:0       0.502 
     1024        2:1        2:1       1 
     1025        1:0        2:1   +   0.773 
     1026        5:4       10:9   +   0.838 
     1027        2:1        2:1       0.972 
     1028        5:4        5:4       0.998 
     1029        9:8        9:8       0.926 
     1030        9:8        9:8       0.998 
     1031        1:0        5:4   +   0.993 
     1032        7:6        7:6       0.977 
     1033        2:1        2:1       0.969 
     1034        2:1        2:1       0.997 
     1035        8:7        8:7       0.991 
     1036        2:1        2:1       0.997 
     1037        9:8        9:8       0.925 
     1038        9:8        9:8       0.848 
     1039        1:0        5:4   +   0.687 
     1040        3:2        3:2       0.414 
     1041        2:1        2:1       0.999 
     1042        2:1        2:1       0.999 
     1043        1:0        1:0       0.986 
     1044       10:9       10:9       1 
     1045        5:4        5:4       0.89 
     1046        2:1        2:1       1 
     1047        9:8        9:8       0.996 
     1048        1:0        1:0       0.999 
     1049        2:1        2:1       0.999 
     1050        6:5        6:5       0.997 
     1051        6:5        6:5       0.994 
     1052        2:1        2:1       0.984 
     1053       10:9       10:9       0.996 
     1054        8:7        8:7       0.999 
     1055        2:1        2:1       1 
     1056        6:5        6:5       0.996 
     1057        1:0        1:0       0.998 
     1058        2:1        2:1       0.995 
     1059        2:1        2:1       0.998 
     1060        1:0        1:0       0.991 
     1061        7:6        7:6       0.941 
     1062       10:9       10:9       0.992 
     1063       10:9       10:9       1 
     1064        8:7        8:7       0.994 
     1065        2:1        2:1       0.998 
     1066        2:1        2:1       0.999 
     1067        5:4        5:4       0.661 
     1068        4:3        6:5   +   0.606 
     1069        5:4        5:4       0.967 
     1070        2:1        2:1       1 
     1071        1:0        1:0       0.983 
     1072        6:5        6:5       0.998 
     1073        1:0        1:0       0.967 
     1074        2:1        2:1       1 
     1075       10:9       10:9       0.997 
     1076        8:7        8:7       0.999 
     1077       10:9       10:9       0.994 
     1078        2:1        2:1       1 
     1079        5:4        5:4       0.608 
     1080        1:0        1:0       0.999 
     1081       10:9       10:9       0.997 
     1082        2:1        2:1       0.999 
     1083        5:4        5:4       0.996 
     1084       10:9       10:9       0.965 
     1085       10:9        5:4   +   0.931 
     1086        6:5       10:9   +   0.591 
     1087       10:9       10:9       0.995 
     1088        2:1        2:1       0.986 
     1089       10:9       10:9       0.999 
     1090        8:7        8:7       0.998 
     1091        7:6        7:6       0.964 
     1092       10:9       10:9       1 
     1093        1:0        1:0       0.989 
     1094        9:8        9:8       0.882 
     1095        5:4        5:4       0.497 
     1096        3:2       10:9   +   0.93 
     1097        5:4        5:4       0.998 
     1098        6:5        6:5       0.999 
     1099        3:2        3:2       0.97 
     1100       10:9       10:9       0.994 
     1101        2:1        2:1       0.995 
     1102       10:9       10:9       0.994 
     1103        6:5        6:5       0.995 
     1104       10:9        6:5   +   0.977 
     1105        7:6        7:6       0.833 
     1106        5:4        1:0   +   0.963 
     1107        8:7        8:7       1 
     1108       10:9       10:9       0.998 
     1109        2:1        2:1       0.846 
     1110       10:9        5:4   +   0.935 
     1111        1:0        1:0       0.964 
     1112       10:9       10:9       0.976 
     1113       10:9       10:9       0.914 
     1114        5:4        5:4       0.87 
     1115        2:1        2:1       0.998 
     1116        6:5        6:5       0.773 
     1117        1:0        1:0       0.957 
     1118        1:0        1:0       0.862 
     1119        6:5        6:5       0.566 
     1120        2:1        2:1       0.992 
     1121        6:5        6:5       0.995 
     1122        1:0        1:0       0.816 
     1123       10:9       10:9       0.988 
     1124       10:9       10:9       0.989 
     1125        2:1        2:1       0.996 
     1126        9:8        9:8       0.994 
     1127       10:9       10:9       0.998 
     1128        9:8        9:8       0.982 
     1129       10:9       10:9       0.963 
     1130        2:1        2:1       0.995 
     1131        1:0        1:0       0.996 
     1132       10:9       10:9       0.76 
     1133       10:9       10:9       0.99 
     1134        2:1        2:1       0.995 
     1135        2:1        2:1       0.999 
     1136        2:1        2:1       0.999 
     1137        6:5        6:5       0.645 
     1138        2:1        2:1       0.998 
     1139        9:8        9:8       0.968 
     1140        8:7        8:7       1 
     1141       10:9       10:9       0.995 
     1142       10:9       10:9       0.999 
     1143       10:9       10:9       1 
     1144        2:1        2:1       0.993 
     1145        2:1        2:1       0.996 
     1146        9:8        9:8       0.983 
     1147        2:1        2:1       1 
     1148        2:1        2:1       0.999 
     1149        2:1        2:1       0.999 
     1150        2:1        2:1       0.987 
     1151        6:5        6:5       0.999 
     1152        4:3        4:3       0.997 
     1153        2:1        2:1       0.999 
     1154        2:1        2:1       0.999 
     1155        9:8        9:8       0.982 
     1156        6:5        6:5       0.668 
     1157        2:1        2:1       0.998 
     1158        5:4        5:4       0.865 
     1159        5:4        5:4       0.655 
     1160        4:3        4:3       0.992 
     1161       10:9       10:9       0.999 
     1162        8:7        5:4   +   0.596 
     1163        2:1        2:1       0.996 
     1164       10:9       10:9       0.94 
     1165        9:8        9:8       0.98 
     1166        5:4        5:4       0.948 
     1167       10:9       10:9       0.994 
     1168        6:5        6:5       0.675 
     1169        5:4        5:4       0.959 
     1170        2:1        2:1       0.999 
     1171        7:6        7:6       0.971 
     1172        8:7        8:7       1 
     1173       10:9       10:9       0.929 
     1174        1:0        1:0       0.962 
     1175        1:0        1:0       0.854 
     1176       10:9       10:9       0.996 
     1177        1:0        1:0       0.984 
     1178        2:1        2:1       0.999 
     1179        2:1        2:1       0.962 
     1180       10:9       10:9       0.988 
     1181        1:0        1:0       0.999 
     1182        2:1        2:1       0.997 
     1183       10:9       10:9       0.999 
     1184        9:8        9:8       0.997 
     1185       10:9       10:9       0.997 
     1186       10:9       10:9       0.844 
     1187       10:9       10:9       0.625 
     1188        9:8        9:8       0.99 
     1189        1:0        1:0       0.839 
     1190        2:1        2:1       0.994 
     1191        5:4        4:3   +   0.965 
     1192        2:1        2:1       0.999 
     1193        2:1        2:1       0.998 
     1194        2:1        2:1       0.997 
     1195        2:1        2:1       0.981 
     1196       10:9       10:9       0.996 
     1197       10:9        6:5   +   0.525 
     1198       10:9       10:9       1 
     1199        2:1        2:1       1 
     1200        2:1        2:1       0.996 
     1201        2:1        2:1       0.891 
     1202        2:1        2:1       1 
     1203        9:8        9:8       0.999 
     1204        6:5        6:5       0.99 
     1205        3:2       10:9   +   0.59 
     1206       10:9       10:9       0.978 
     1207        2:1        2:1       0.999 
     1208        2:1        2:1       0.985 
     1209       10:9       10:9       0.965 
     1210        9:8        9:8       0.899 
     1211       10:9       10:9       1 
     1212        3:2        3:2       0.988 
     1213        2:1        2:1       0.999 
     1214        2:1        2:1       0.986 
     1215        9:8        9:8       0.781 
     1216       10:9       10:9       0.849 
     1217        2:1        2:1       0.998 
     1218        2:1        2:1       0.992 
     1219       10:9       10:9       0.993 
     1220        2:1        2:1       0.999 
     1221        5:4        5:4       0.999 
     1222        7:6        9:8   +   0.964 
     1223       10:9       10:9       0.995 
     1224        6:5        5:4   +   0.714 
     1225        1:0        1:0       0.986 
     1226       10:9       10:9       0.992 
     1227       10:9       10:9       0.993 
     1228       10:9       10:9       0.878 
     1229        6:5        6:5       0.987 
     1230        2:1        2:1       0.998 
     1231        3:2        9:8   +   0.975 
     1232        2:1        2:1       0.999 
     1233        2:1        2:1       1 
     1234        4:3        4:3       0.511 
     1235        2:1        2:1       0.998 
     1236        1:0        1:0       1 
     1237        2:1        2:1       1 
     1238        1:0        1:0       0.975 
     1239       10:9       10:9       0.999 
     1240        5:4        5:4       0.981 
     1241        9:8        9:8       0.995 
     1242        9:8        9:8       0.996 
     1243        5:4        5:4       0.999 
     1244       10:9       10:9       0.992 
     1245        2:1        2:1       0.528 
     1246        3:2        3:2       0.819 
     1247       10:9       10:9       0.829 
     1248        2:1        2:1       0.999 
     1249        9:8        9:8       0.997 
     1250        5:4        5:4       0.893 
     1251        6:5        6:5       0.981 
     1252        9:8        9:8       0.965 
     1253       10:9       10:9       0.991 
     1254       10:9       10:9       0.999 
     1255        2:1        2:1       0.997 
     1256        6:5        6:5       0.999 
     1257        1:0        1:0       0.994 
     1258        2:1        2:1       0.995 
     1259        2:1        2:1       0.998 
     1260        2:1        2:1       0.997 
     1261        6:5        6:5       0.977 
     1262       10:9       10:9       0.991 
     1263        5:4        5:4       0.999 
     1264        9:8        9:8       0.989 
     1265       10:9       10:9       0.935 
     1266        1:0        1:0       0.963 
     1267        6:5        6:5       0.995 
     1268        7:6        7:6       0.992 
     1269       10:9       10:9       0.997 
     1270        7:6        7:6       0.982 
     1271        6:5        6:5       0.981 
     1272        2:1        2:1       0.999 
     1273        2:1        2:1       0.979 
     1274       10:9       10:9       0.685 
     1275       10:9       10:9       1 
     1276        8:7        2:1   +   0.791 
     1277        2:1        2:1       0.999 
     1278       10:9       10:9       1 
     1279       10:9       10:9       0.989 
     1280        8:7        8:7       0.998 
     1281        2:1        2:1       0.999 
     1282        2:1        2:1       0.98 
     1283        2:1        2:1       0.999 
     1284        6:5        6:5       0.998 
     1285        6:5        6:5       0.999 
     1286        2:1        2:1       0.988 
     1287       10:9        1:0   +   0.706 
     1288       10:9       10:9       0.979 
     1289       10:9       10:9       0.988 
     1290        5:4        5:4       0.894 
     1291        2:1        2:1       0.999 
     1292        8:7        8:7       0.996 
     1293        2:1        2:1       1 
     1294        2:1        2:1       0.988 
     1295        9:8       10:9   +   0.561 
     1296        9:8        6:5   +   0.975 
     1297        2:1        2:1       0.923 
     1298        2:1        2:1       0.995 
     1299        3:2        3:2       0.802 
     1300       10:9       10:9       0.971 
     1301        1:0        1:0       0.985 
     1302        9:8        9:8       0.988 
     1303        2:1        2:1       0.997 
     1304        6:5        7:6   +   0.443 
     1305       10:9       10:9       0.923 
     1306       10:9       10:9       1 
     1307        7:6        7:6       0.992 
     1308        1:0        1:0       0.999 
     1309        1:0        1:0       0.993 
     1310       10:9       10:9       1 
     1311        2:1        2:1       1 
     1312        2:1        2:1       0.999 
     1313        3:2        3:2       0.704 
     1314        2:1        2:1       1 
     1315        1:0        1:0       0.992 
     1316        2:1        2:1       0.55 
     1317       10:9       10:9       0.982 
     1318        1:0        1:0       0.999 
     1319       10:9       10:9       0.997 
     1320        9:8        9:8       0.996 
     1321        7:6        7:6       0.986 
     1322        2:1        2:1       0.999 
     1323        5:4        5:4       0.856 
     1324        2:1        2:1       1 
     1325       10:9       10:9       0.763 
     1326        1:0        1:0       0.996 
     1327        1:0        1:0       0.999 
     1328        2:1        2:1       0.999 
     1329        7:6        5:4   +   0.523 
     1330        5:4        5:4       0.998 
     1331        9:8        9:8       0.992 
     1332        5:4        5:4       0.982 
     1333        2:1        2:1       0.891 
     1334        9:8        9:8       0.999 
     1335        8:7        8:7       0.997 
     1336        2:1        2:1       0.998 
     1337        2:1        2:1       0.999 
     1338       10:9       10:9       0.995 
     1339        1:0        1:0       0.999 
     1340       10:9       10:9       0.994 
     1341        9:8        9:8       0.986 
     1342        9:8        9:8       0.968 
     1343        2:1        2:1       0.999 
     1344       10:9       10:9       0.63 
     1345        2:1        2:1       0.999 
     1346        5:4        5:4       0.563 
     1347       10:9       10:9       0.987 
     1348        9:8        9:8       0.992 
     1349        6:5        6:5       0.997 
     1350        6:5        6:5       0.822 
     1351       10:9       10:9       0.995 
     1352        9:8        9:8       0.999 
     1353       10:9       10:9       0.993 
     1354        2:1        2:1       0.987 
     1355       10:9       10:9       0.885 
     1356       10:9       10:9       0.994 
     1357       10:9       10:9       0.995 
     1358        5:4        5:4       0.576 
     1359        6:5        6:5       0.977 
     1360        5:4        5:4       0.983 
     1361        6:5        6:5       0.999 
     1362        2:1        2:1       0.947 
     1363        2:1        2:1       1 
     1364        2:1        2:1       0.991 
     1365       10:9       10:9       0.999 
     1366        9:8        9:8       0.981 
     1367        2:1        2:1       0.999 
     1368        6:5        6:5       0.992 
     1369       10:9       10:9       1 
     1370        2:1        2:1       0.836 
     1371       10:9       10:9       0.974 
     1372       10:9       10:9       0.996 
     1373       10:9       10:9       1 
     1374        6:5        6:5       0.997 
     1375        5:4        5:4       0.513 
     1376        6:5       10:9   +   0.518 
     1377        1:0        1:0       0.995 
     1378        1:0        2:1   +   0.954 
     1379        2:1        2:1       0.999 
     1380        6:5        6:5       0.995 
     1381        7:6        7:6       0.804 
     1382        9:8        9:8       0.996 
     1383       10:9       10:9       0.805 
     1384        5:4        6:5   +   0.969 
     1385        2:1        2:1       0.991 
     1386       10:9        5:4   +   0.899 
     1387        2:1        2:1       0.901 
     1388        5:4        5:4       0.997 
     1389        2:1        2:1       1 
     1390       10:9        6:5   +   0.501 
     1391        6:5        6:5       0.997 
     1392        2:1        2:1       1 
     1393        2:1        2:1       0.757 
     1394       10:9       10:9       0.568 
     1395        2:1        2:1       0.999 
     1396        6:5        6:5       0.997 
     1397        2:1        2:1       0.998 
     1398        3:2       10:9   +   0.769 
     1399        6:5        6:5       0.997 
     1400        5:4        1:0   +   0.697 
     1401        6:5        6:5       0.998 
     1402        2:1        2:1       1 
     1403       10:9       10:9       0.996 
     1404       10:9       10:9       0.997 
     1405        4:3        4:3       0.764 
     1406        6:5        6:5       0.987 
     1407        9:8        9:8       0.922 
     1408        6:5        3:2   +   0.45 
     1409       10:9       10:9       0.999 
     1410        2:1        2:1       1 
     1411       10:9       10:9       0.705 
     1412        5:4       10:9   +   0.993 
     1413        2:1        2:1       0.835 
     1414        9:8        9:8       0.989 
     1415        6:5        6:5       0.971 
     1416        5:4        5:4       0.792 
     1417        6:5        6:5       0.999 
     1418        6:5        6:5       0.999 
     1419        6:5       10:9   +   0.786 
     1420        2:1        2:1       0.993 
     1421        5:4        5:4       0.783 
     1422       10:9       10:9       0.994 
     1423        6:5        6:5       0.998 
     1424        2:1        2:1       0.998 
     1425        5:4        5:4       0.555 
     1426        2:1        2:1       0.999 
     1427        5:4        5:4       0.995 
     1428       10:9       10:9       0.999 
     1429        2:1        2:1       1 
     1430        2:1        2:1       0.999 
     1431        1:0        1:0       0.997 
     1432        8:7        8:7       0.999 
     1433       10:9       10:9       1 
     1434        2:1        2:1       0.999 
     1435        5:4        5:4       0.995 
     1436       10:9       10:9       0.999 
     1437        8:7        8:7       1 
     1438        2:1        2:1       1 
     1439        1:0        1:0       0.994 
     1440        4:3        4:3       0.996 
     1441        2:1        8:7   +   0.989 
     1442       10:9       10:9       0.995 
     1443        2:1        8:7   +   0.585 
     1444       10:9       10:9       1 
     1445        2:1        2:1       0.998 
     1446        2:1        2:1       1 
     1447        1:0        1:0       0.7 
     1448        4:3        4:3       0.997 
     1449        2:1        2:1       0.999 
     1450        2:1        2:1       0.997 
     1451        2:1        2:1       0.998 
     1452        2:1        2:1       1 
     1453       10:9       10:9       0.997 
     1454        2:1        2:1       1 
     1455       10:9       10:9       0.992 
     1456        6:5        6:5       0.995 
     1457        2:1        2:1       0.998 
     1458        1:0        1:0       0.999 
     1459        2:1        2:1       1 
     1460        2:1        2:1       0.999 
     1461       10:9       10:9       0.901 
     1462        2:1        2:1       0.995 
     1463        9:8        9:8       0.721 
     1464       10:9       10:9       0.999 
     1465        2:1        2:1       0.998 
     1466        9:8        9:8       0.998 
     1467        3:2        3:2       0.728 
     1468        9:8        9:8       0.998 
     1469        6:5        6:5       1 
     1470        6:5        6:5       0.895 
     1471        4:3        4:3       0.989 
     1472        6:5        6:5       0.686 
     1473        1:0        1:0       0.914 
     1474        2:1        2:1       0.999 
     1475       10:9       10:9       0.885 
     1476        7:6        7:6       0.968 
     1477       10:9       10:9       1 
     1478        9:8        9:8       0.993 
     1479        5:4        5:4       0.971 
     1480       10:9       10:9       0.999 
     1481       10:9        6:5   +   0.608 
     1482        3:2        3:2       0.877 
     1483        9:8        9:8       0.917 
     1484       10:9       10:9       0.912 
     1485        2:1        2:1       1 
     1486        2:1        2:1       1 
     1487        2:1        2:1       0.998 
     1488       10:9       10:9       0.995 
     1489        9:8        9:8       0.987 
     1490        9:8        9:8       0.839 
     1491       10:9       10:9       0.997 
     1492        6:5        5:4   +   0.588 
     1493        8:7        8:7       0.998 
     1494        2:1        2:1       0.995 
     1495       10:9       10:9       0.989 
     1496        9:8        9:8       0.991 
     1497        5:4        5:4       0.995 
     1498        2:1        2:1       0.996 
     1499       10:9       10:9       0.999 
     1500        2:1        2:1       0.997 
     1501        9:8        9:8       0.986 
     1502        3:2        3:2       0.98 
     1503        7:6        7:6       0.955 
     1504        5:4        5:4       0.995 
     1505        5:4       10:9   +   0.636 
     1506        8:7        2:1   +   0.657 
     1507        9:8        9:8       0.981 
     1508        9:8        9:8       0.987 
     1509        2:1        2:1       0.997 
     1510        2:1        2:1       0.97 
     1511        2:1        2:1       0.997 
     1512        2:1        2:1       0.999 
     1513       10:9       10:9       0.92 
     1514        1:0        1:0       0.509 
     1515       10:9       10:9       1 
     1516        2:1        2:1       0.998 
     1517        9:8        9:8       0.999 
     1518        2:1        2:1       0.996 
     1519        2:1        2:1       1 
     1520        5:4        5:4       0.963 
     1521        2:1        2:1       0.999 
     1522        8:7        8:7       0.995 
     1523        6:5        6:5       0.995 
     1524       10:9       10:9       0.999 
     1525        8:7        8:7       0.996 
     1526        5:4       10:9   +   0.747 
     1527        5:4        5:4       0.949 
     1528       10:9       10:9       0.978 
     1529       10:9       10:9       0.92 
     1530       10:9       10:9       0.998 
     1531        2:1        2:1       0.998 
     1532        8:7        8:7       0.998 
     1533        5:4        5:4       0.998 
     1534       10:9       10:9       1 
     1535        6:5        6:5       0.99 
     1536       10:9       10:9       0.999 
     1537       10:9       10:9       0.947 
     1538       10:9       10:9       0.998 
     1539       10:9       10:9       0.487 
     1540        4:3        4:3       0.992 
     1541       10:9       10:9       0.999 
     1542        3:2        9:8   +   0.638 
     1543        1:0        5:4   +   0.521 
     1544        8:7        8:7       0.998 
     1545       10:9       10:9       0.994 
     1546        6:5        6:5       0.95 
     1547        4:3        4:3       0.973 
     1548        2:1       10:9   +   0.89 
     1549        6:5        6:5       0.995 
     1550       10:9       10:9       0.998 
     1551        2:1        2:1       0.996 
     1552        6:5        6:5       0.994 
     1553       10:9       10:9       0.962 
     1554        2:1        2:1       0.999 
     1555        6:5        6:5       0.994 
     1556        2:1        2:1       0.97 
     1557        9:8        9:8       0.763 
     1558        2:1        2:1       0.999 
     1559       10:9       10:9       0.999 
     1560        2:1        2:1       0.995 
     1561        2:1        2:1       0.995 
     1562        2:1        2:1       0.994 
     1563        2:1        2:1       1 
     1564        5:4        5:4       0.944 
     1565        4:3        4:3       0.937 
     1566        2:1        2:1       0.999 
     1567        2:1        2:1       0.997 
     1568       10:9       10:9       0.976 
     1569        5:4        5:4       0.975 
     1570       10:9       10:9       0.999 
     1571        2:1        2:1       0.999 
     1572        9:8        9:8       0.993 
     1573        2:1        2:1       0.998 
     1574        8:7        8:7       0.998 
     1575        1:0        1:0       0.999 
     1576        1:0        1:0       0.725 
     1577        5:4        1:0   +   0.994 
     1578       10:9       10:9       0.999 
     1579        9:8        9:8       0.996 
     1580        2:1        2:1       1 
     1581       10:9       10:9       0.931 
     1582        1:0        1:0       0.999 
     1583       10:9       10:9       0.981 
     1584        9:8        9:8       0.999 
     1585        1:0        1:0       0.735 
     1586        5:4        5:4       0.996 
     1587        4:3        4:3       0.99 
     1588       10:9       10:9       1 
     1589       10:9       10:9       0.993 
     1590        2:1        2:1       0.999 
     1591       10:9       10:9       0.984 
     1592       10:9       10:9       0.999 
     1593       10:9       10:9       0.992 
     1594       10:9       10:9       0.996 
     1595       10:9       10:9       0.973 
     1596       10:9       10:9       1 
     1597        1:0        1:0       0.8 
     1598        2:1        2:1       0.999 
     1599       10:9       10:9       0.899 
     1600        1:0        1:0       0.986 
     1601        9:8        9:8       0.97 
     1602        2:1        6:5   +   0.515 
     1603        2:1        2:1       0.967 
     1604        7:6        7:6       0.997 
     1605        2:1        2:1       0.998 
     1606        6:5        6:5       0.938 
     1607        4:3        4:3       0.911 
     1608       10:9       10:9       1 
     1609       10:9       10:9       1 
     1610        5:4        5:4       0.993 
     1611       10:9       10:9       1 
     1612        9:8        9:8       0.974 
     1613       10:9        5:4   +   0.638 
     1614        1:0        1:0       0.999 
     1615        6:5        6:5       0.996 
     1616       10:9       10:9       0.989 
     1617        2:1        2:1       1 
     1618        6:5        6:5       0.994 
     1619        5:4        5:4       0.943 
     1620        9:8        9:8       0.998 
     1621        5:4        5:4       0.997 
     1622       10:9       10:9       0.999 
     1623        2:1        2:1       0.999 
     1624        5:4        5:4       0.987 
     1625       10:9       10:9       1 
     1626       10:9       10:9       0.93 
     1627       10:9       10:9       0.951 
     1628       10:9        9:8   +   0.744 
     1629       10:9       10:9       0.995 
     1630       10:9       10:9       1 
     1631       10:9       10:9       0.999 
     1632        5:4        5:4       0.949 
     1633       10:9       10:9       1 
     1634        1:0        1:0       0.962 
     1635        2:1        2:1       1 
     1636       10:9       10:9       0.899 
     1637       10:9       10:9       0.975 
     1638        2:1        2:1       1 
     1639        5:4        5:4       0.992 
     1640        1:0        1:0       0.994 
     1641       10:9       10:9       0.973 
     1642       10:9       10:9       0.873 
     1643       10:9       10:9       0.573 
     1644       10:9       10:9       0.918 
     1645        2:1        2:1       1 
     1646        2:1        2:1       0.999 
     1647        2:1        2:1       1 
     1648        2:1        2:1       0.84 
     1649       10:9       10:9       1 
     1650       10:9       10:9       0.997 
     1651        5:4        5:4       0.986 
     1652       10:9        6:5   +   0.598 
     1653        5:4        5:4       0.748 
     1654       10:9       10:9       0.911 
     1655        5:4        5:4       0.995 
     1656        2:1        2:1       0.912 
     1657        5:4        5:4       0.985 
     1658        2:1        2:1       0.994 
     1659        8:7        8:7       0.997 
     1660       10:9       10:9       0.855 
     1661        9:8        9:8       0.978 
     1662       10:9       10:9       0.959 
     1663       10:9       10:9       0.988 
     1664       10:9       10:9       0.907 
     1665       10:9       10:9       0.981 
     1666       10:9       10:9       0.992 
     1667        6:5        6:5       0.999 
