=== Run information ===

Scheme:       weka.classifiers.functions.MultilayerPerceptron -L 0.3 -M 0.2 -N 10 -V 0 -S 0 -E 20 -H a -G -R -D
Relation:     ds2Train-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last
Instances:    6400
Attributes:   1025
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Predictions on test set ===

    inst#     actual  predicted error prediction
      840       10:9        3:2   +   0.617 
      841        2:1        2:1       0.991 
      842        1:0        1:0       0.747 
      843        5:4        5:4       0.97 
      844        2:1        2:1       0.977 
      845        9:8        9:8       0.932 
      846        9:8        9:8       0.992 
      847        9:8        9:8       0.991 
      848        2:1        2:1       0.996 
      849        2:1        2:1       0.998 
      850        5:4        5:4       0.838 
      851       10:9       10:9       0.547 
      852        6:5        6:5       0.918 
      853       10:9       10:9       0.983 
      854        2:1        2:1       0.957 
      855        9:8        9:8       0.987 
      856       10:9       10:9       0.988 
      857        7:6        7:6       0.925 
      858        6:5        6:5       0.972 
      859        9:8        9:8       0.91 
      860        5:4        5:4       0.928 
      861        2:1        2:1       0.982 
      862       10:9       10:9       0.646 
      863       10:9       10:9       0.882 
      864       10:9       10:9       0.984 
      865        6:5        6:5       0.46 
      866        1:0        1:0       0.996 
      867        9:8        9:8       0.966 
      868        9:8        9:8       0.956 
      869        8:7        1:0   +   0.464 
      870       10:9       10:9       0.989 
      871        2:1        2:1       0.988 
      872        2:1        2:1       0.903 
      873        4:3        4:3       0.893 
      874        1:0        1:0       0.495 
      875        1:0        1:0       0.997 
      876        6:5        6:5       0.985 
      877        6:5        6:5       0.976 
      878        6:5        6:5       0.99 
      879        1:0        1:0       0.667 
      880       10:9       10:9       0.989 
      881        5:4        5:4       0.971 
      882        3:2        3:2       0.763 
      883       10:9       10:9       1 
      884       10:9       10:9       0.989 
      885        6:5        6:5       0.986 
      886        6:5        6:5       0.807 
      887        2:1        2:1       1 
      888        2:1        2:1       0.998 
      889        5:4       10:9   +   0.968 
      890        6:5        6:5       0.983 
      891        1:0        1:0       0.989 
      892        2:1        2:1       0.999 
      893       10:9       10:9       0.998 
      894        2:1        2:1       0.997 
      895       10:9       10:9       0.692 
      896       10:9       10:9       0.871 
      897       10:9       10:9       0.991 
      898       10:9       10:9       0.928 
      899        9:8        9:8       0.984 
      900        2:1        2:1       0.994 
      901        2:1        2:1       0.983 
      902       10:9       10:9       0.996 
      903        1:0        1:0       0.963 
      904        5:4        5:4       0.986 
      905       10:9       10:9       0.549 
      906       10:9       10:9       0.993 
      907       10:9       10:9       0.586 
      908        8:7        8:7       0.998 
      909        6:5        6:5       0.991 
      910        5:4        5:4       0.88 
      911       10:9       10:9       0.999 
      912        1:0        1:0       0.586 
      913       10:9       10:9       0.391 
      914       10:9       10:9       0.992 
      915        1:0        1:0       0.828 
      916       10:9       10:9       0.978 
      917        2:1        2:1       0.989 
      918       10:9       10:9       0.821 
      919       10:9       10:9       0.968 
      920        9:8        9:8       0.985 
      921        2:1        2:1       0.994 
      922        9:8        9:8       0.952 
      923        3:2        3:2       0.995 
      924       10:9       10:9       0.968 
      925        6:5        6:5       0.984 
      926        9:8        9:8       0.947 
      927        4:3        4:3       0.953 
      928        9:8        9:8       0.685 
      929        2:1        2:1       0.892 
      930       10:9       10:9       0.928 
      931       10:9       10:9       0.991 
      932        9:8        9:8       0.946 
      933        6:5        6:5       0.861 
      934        1:0        9:8   +   0.521 
      935       10:9       10:9       0.99 
      936        2:1        2:1       0.998 
      937        4:3        4:3       0.913 
      938        2:1        2:1       0.843 
      939        2:1        2:1       0.999 
      940        5:4        5:4       0.962 
      941        6:5        6:5       0.993 
      942        2:1        2:1       0.977 
      943       10:9       10:9       0.962 
      944        2:1        2:1       1 
      945        5:4        5:4       0.953 
      946        4:3        4:3       0.944 
      947        6:5        6:5       0.972 
      948       10:9       10:9       0.955 
      949        2:1        2:1       1 
      950        2:1        2:1       1 
      951       10:9       10:9       0.451 
      952       10:9       10:9       0.999 
      953       10:9       10:9       0.99 
      954        6:5        4:3   +   0.396 
      955        7:6        7:6       0.636 
      956        9:8        9:8       0.987 
      957        5:4        5:4       0.921 
      958        6:5        6:5       0.972 
      959        5:4        5:4       0.983 
      960        2:1        2:1       0.999 
      961        2:1        2:1       0.999 
      962        2:1        2:1       0.997 
      963        2:1        2:1       0.999 
      964       10:9       10:9       0.908 
      965       10:9       10:9       0.852 
      966        6:5        6:5       0.991 
      967        4:3        4:3       0.892 
      968       10:9       10:9       0.996 
      969        9:8        9:8       0.979 
      970       10:9       10:9       0.993 
      971        2:1        2:1       0.999 
      972        2:1        2:1       0.997 
      973        1:0        1:0       0.956 
      974        6:5        6:5       0.96 
      975       10:9       10:9       0.999 
      976        8:7        8:7       0.999 
      977        2:1        5:4   +   0.956 
      978        1:0        1:0       0.994 
      979        2:1        2:1       0.969 
      980        3:2        3:2       0.819 
      981        9:8        9:8       0.997 
      982       10:9       10:9       0.998 
      983       10:9       10:9       0.991 
      984        1:0        1:0       0.665 
      985        7:6        7:6       0.86 
      986        1:0        1:0       0.915 
      987        9:8        9:8       0.913 
      988       10:9       10:9       0.971 
      989        1:0        1:0       0.998 
      990       10:9       10:9       0.962 
      991        7:6        7:6       0.827 
      992       10:9       10:9       0.997 
      993        6:5        6:5       0.606 
      994        6:5        6:5       0.966 
      995        4:3        4:3       0.947 
      996       10:9       10:9       0.975 
      997       10:9       10:9       0.831 
      998       10:9       10:9       0.991 
      999       10:9       10:9       1 
     1000        9:8        9:8       0.983 
     1001        4:3        4:3       0.985 
     1002       10:9       10:9       0.999 
     1003        5:4        5:4       0.927 
     1004        1:0        1:0       0.968 
     1005       10:9       10:9       0.998 
     1006        6:5        6:5       0.997 
     1007        2:1        2:1       0.955 
     1008        2:1        2:1       0.991 
     1009       10:9       10:9       0.985 
     1010        6:5        6:5       0.99 
     1011        5:4        5:4       0.983 
     1012        2:1        2:1       0.995 
     1013       10:9       10:9       0.998 
     1014        7:6        7:6       0.888 
     1015        2:1        2:1       0.994 
     1016        1:0        1:0       0.944 
     1017        7:6        7:6       0.93 
     1018       10:9       10:9       0.999 
     1019        1:0        1:0       0.982 
     1020        2:1        2:1       0.996 
     1021        5:4        5:4       0.987 
     1022        2:1        2:1       0.984 
     1023        1:0        1:0       0.577 
     1024        2:1        2:1       1 
     1025        1:0        2:1   +   0.907 
     1026        5:4       10:9   +   0.831 
     1027        2:1        2:1       0.913 
     1028        5:4        5:4       0.994 
     1029        9:8        9:8       0.913 
     1030        9:8        9:8       0.995 
     1031        1:0        5:4   +   0.989 
     1032        7:6        7:6       0.947 
     1033        2:1        2:1       0.933 
     1034        2:1        2:1       0.991 
     1035        8:7        8:7       0.986 
     1036        2:1        2:1       0.997 
     1037        9:8        9:8       0.892 
     1038        9:8        9:8       0.912 
     1039        1:0        5:4   +   0.621 
     1040        3:2        3:2       0.571 
     1041        2:1        2:1       0.998 
     1042        2:1        2:1       0.997 
     1043        1:0        1:0       0.985 
     1044       10:9       10:9       1 
     1045        5:4        5:4       0.843 
     1046        2:1        2:1       0.999 
     1047        9:8        9:8       0.99 
     1048        1:0        1:0       0.984 
     1049        2:1        2:1       0.997 
     1050        6:5        6:5       0.984 
     1051        6:5        6:5       0.969 
     1052        2:1        2:1       0.945 
     1053       10:9       10:9       0.988 
     1054        8:7        8:7       0.998 
     1055        2:1        2:1       1 
     1056        6:5        6:5       0.99 
     1057        1:0        1:0       0.993 
     1058        2:1        2:1       0.994 
     1059        2:1        2:1       0.999 
     1060        1:0        1:0       0.971 
     1061        7:6        7:6       0.853 
     1062       10:9       10:9       0.983 
     1063       10:9       10:9       1 
     1064        8:7        8:7       0.998 
     1065        2:1        2:1       0.996 
     1066        2:1        2:1       0.997 
     1067        5:4        5:4       0.546 
     1068        4:3        6:5   +   0.634 
     1069        5:4        5:4       0.88 
     1070        2:1        2:1       0.999 
     1071        1:0        1:0       0.936 
     1072        6:5        6:5       0.995 
     1073        1:0        1:0       0.92 
     1074        2:1        2:1       1 
     1075       10:9       10:9       0.992 
     1076        8:7        8:7       0.998 
     1077       10:9       10:9       0.998 
     1078        2:1        2:1       0.999 
     1079        5:4        5:4       0.608 
     1080        1:0        1:0       0.998 
     1081       10:9       10:9       0.993 
     1082        2:1        2:1       0.995 
     1083        5:4        5:4       0.871 
     1084       10:9       10:9       0.895 
     1085       10:9        5:4   +   0.878 
     1086        6:5       10:9   +   0.456 
     1087       10:9       10:9       0.988 
     1088        2:1        2:1       0.947 
     1089       10:9       10:9       0.999 
     1090        8:7        8:7       0.992 
     1091        7:6        7:6       0.914 
     1092       10:9       10:9       0.999 
     1093        1:0        1:0       0.946 
     1094        9:8        9:8       0.751 
     1095        5:4        5:4       0.363 
     1096        3:2       10:9   +   0.912 
     1097        5:4        5:4       0.993 
     1098        6:5        6:5       0.998 
     1099        3:2        3:2       0.903 
     1100       10:9       10:9       0.99 
     1101        2:1        2:1       0.992 
     1102       10:9       10:9       0.972 
     1103        6:5        6:5       0.992 
     1104       10:9        6:5   +   0.939 
     1105        7:6        7:6       0.817 
     1106        5:4        1:0   +   0.899 
     1107        8:7        8:7       0.999 
     1108       10:9       10:9       0.996 
     1109        2:1        2:1       0.709 
     1110       10:9        5:4   +   0.883 
     1111        1:0        1:0       0.912 
     1112       10:9       10:9       0.875 
     1113       10:9       10:9       0.948 
     1114        5:4        5:4       0.841 
     1115        2:1        2:1       0.999 
     1116        6:5        6:5       0.649 
     1117        1:0        1:0       0.834 
     1118        1:0        1:0       0.836 
     1119        6:5        6:5       0.722 
     1120        2:1        2:1       0.957 
     1121        6:5        6:5       0.99 
     1122        1:0        1:0       0.633 
     1123       10:9       10:9       0.968 
     1124       10:9       10:9       0.993 
     1125        2:1        2:1       0.97 
     1126        9:8        9:8       0.96 
     1127       10:9       10:9       0.981 
     1128        9:8        9:8       0.967 
     1129       10:9       10:9       0.929 
     1130        2:1        2:1       0.991 
     1131        1:0        1:0       0.992 
     1132       10:9       10:9       0.934 
     1133       10:9       10:9       0.875 
     1134        2:1        2:1       0.995 
     1135        2:1        2:1       0.999 
     1136        2:1        2:1       0.999 
     1137        6:5        4:3   +   0.411 
     1138        2:1        2:1       0.999 
     1139        9:8        9:8       0.849 
     1140        8:7        8:7       0.999 
     1141       10:9       10:9       0.99 
     1142       10:9       10:9       0.992 
     1143       10:9       10:9       0.999 
     1144        2:1        2:1       0.996 
     1145        2:1        2:1       0.996 
     1146        9:8        9:8       0.969 
     1147        2:1        2:1       0.999 
     1148        2:1        2:1       0.999 
     1149        2:1        2:1       0.997 
     1150        2:1        2:1       0.966 
     1151        6:5        6:5       0.995 
     1152        4:3        4:3       0.99 
     1153        2:1        2:1       0.999 
     1154        2:1        2:1       0.999 
     1155        9:8        9:8       0.98 
     1156        6:5        6:5       0.659 
     1157        2:1        2:1       0.994 
     1158        5:4        5:4       0.802 
     1159        5:4        5:4       0.618 
     1160        4:3        4:3       0.971 
     1161       10:9       10:9       0.997 
     1162        8:7        5:4   +   0.759 
     1163        2:1        2:1       0.994 
     1164       10:9       10:9       0.92 
     1165        9:8        9:8       0.973 
     1166        5:4        5:4       0.96 
     1167       10:9       10:9       0.987 
     1168        6:5        6:5       0.714 
     1169        5:4        5:4       0.928 
     1170        2:1        2:1       0.999 
     1171        7:6        7:6       0.854 
     1172        8:7        8:7       0.999 
     1173       10:9       10:9       0.943 
     1174        1:0        1:0       0.883 
     1175        1:0        1:0       0.742 
     1176       10:9       10:9       0.998 
     1177        1:0        1:0       0.993 
     1178        2:1        2:1       0.998 
     1179        2:1        2:1       0.991 
     1180       10:9       10:9       0.989 
     1181        1:0        1:0       0.995 
     1182        2:1        2:1       0.999 
     1183       10:9       10:9       0.996 
     1184        9:8        9:8       0.995 
     1185       10:9       10:9       0.988 
     1186       10:9       10:9       0.938 
     1187       10:9       10:9       0.662 
     1188        9:8        9:8       0.931 
     1189        1:0        1:0       0.7 
     1190        2:1        2:1       0.992 
     1191        5:4        4:3   +   0.787 
     1192        2:1        2:1       0.999 
     1193        2:1        2:1       0.997 
     1194        2:1        2:1       0.99 
     1195        2:1        2:1       0.912 
     1196       10:9       10:9       0.991 
     1197       10:9       10:9       0.546 
     1198       10:9       10:9       0.999 
     1199        2:1        2:1       1 
     1200        2:1        2:1       0.994 
     1201        2:1        2:1       0.928 
     1202        2:1        2:1       1 
     1203        9:8        9:8       0.996 
     1204        6:5        6:5       0.984 
     1205        3:2        5:4   +   0.798 
     1206       10:9       10:9       0.97 
     1207        2:1        2:1       1 
     1208        2:1        2:1       0.983 
     1209       10:9       10:9       0.824 
     1210        9:8        9:8       0.966 
     1211       10:9       10:9       0.998 
     1212        3:2        3:2       0.969 
     1213        2:1        2:1       0.996 
     1214        2:1        2:1       0.974 
     1215        9:8        9:8       0.613 
     1216       10:9       10:9       0.501 
     1217        2:1        2:1       0.999 
     1218        2:1        2:1       0.993 
     1219       10:9       10:9       0.982 
     1220        2:1        2:1       0.999 
     1221        5:4        5:4       0.996 
     1222        7:6        9:8   +   0.975 
     1223       10:9       10:9       0.993 
     1224        6:5        5:4   +   0.758 
     1225        1:0        1:0       0.97 
     1226       10:9       10:9       0.976 
     1227       10:9       10:9       0.97 
     1228       10:9       10:9       0.849 
     1229        6:5        6:5       0.98 
     1230        2:1        2:1       0.998 
     1231        3:2        9:8   +   0.961 
     1232        2:1        2:1       0.999 
     1233        2:1        2:1       0.999 
     1234        4:3        4:3       0.517 
     1235        2:1        2:1       0.993 
     1236        1:0        1:0       0.998 
     1237        2:1        2:1       0.999 
     1238        1:0        1:0       0.91 
     1239       10:9       10:9       0.994 
     1240        5:4        5:4       0.944 
     1241        9:8        9:8       0.987 
     1242        9:8        9:8       0.982 
     1243        5:4        5:4       0.999 
     1244       10:9       10:9       0.969 
     1245        2:1        2:1       0.614 
     1246        3:2        3:2       0.7 
     1247       10:9       10:9       0.697 
     1248        2:1        2:1       1 
     1249        9:8        9:8       0.987 
     1250        5:4        5:4       0.782 
     1251        6:5        6:5       0.957 
     1252        9:8        9:8       0.929 
     1253       10:9       10:9       0.838 
     1254       10:9       10:9       0.994 
     1255        2:1        2:1       0.994 
     1256        6:5        6:5       0.995 
     1257        1:0        1:0       0.805 
     1258        2:1        2:1       0.997 
     1259        2:1        2:1       0.997 
     1260        2:1        2:1       0.982 
     1261        6:5        6:5       0.949 
     1262       10:9       10:9       0.996 
     1263        5:4        5:4       0.993 
     1264        9:8        9:8       0.948 
     1265       10:9       10:9       0.827 
     1266        1:0        1:0       0.941 
     1267        6:5        6:5       0.991 
     1268        7:6        7:6       0.962 
     1269       10:9       10:9       0.978 
     1270        7:6        7:6       0.946 
     1271        6:5        6:5       0.97 
     1272        2:1        2:1       0.998 
     1273        2:1        2:1       0.982 
     1274       10:9       10:9       0.874 
     1275       10:9       10:9       0.999 
     1276        8:7        2:1   +   0.94 
     1277        2:1        2:1       0.999 
     1278       10:9       10:9       0.998 
     1279       10:9       10:9       0.988 
     1280        8:7        8:7       0.996 
     1281        2:1        2:1       0.998 
     1282        2:1        2:1       0.985 
     1283        2:1        2:1       0.998 
     1284        6:5        6:5       0.985 
     1285        6:5        6:5       0.993 
     1286        2:1        2:1       0.987 
     1287       10:9        5:4   +   0.434 
     1288       10:9       10:9       0.979 
     1289       10:9       10:9       0.938 
     1290        5:4        5:4       0.986 
     1291        2:1        2:1       0.998 
     1292        8:7        8:7       0.981 
     1293        2:1        2:1       0.998 
     1294        2:1        2:1       0.985 
     1295        9:8       10:9   +   0.528 
     1296        9:8        6:5   +   0.903 
     1297        2:1        2:1       0.743 
     1298        2:1        2:1       0.954 
     1299        3:2        1:0   +   0.337 
     1300       10:9       10:9       0.941 
     1301        1:0        1:0       0.785 
     1302        9:8        9:8       0.946 
     1303        2:1        2:1       0.996 
     1304        6:5        7:6   +   0.452 
     1305       10:9       10:9       0.806 
     1306       10:9       10:9       0.999 
     1307        7:6        7:6       0.96 
     1308        1:0        1:0       0.996 
     1309        1:0        1:0       0.994 
     1310       10:9       10:9       0.998 
     1311        2:1        2:1       0.999 
     1312        2:1        2:1       0.998 
     1313        3:2        3:2       0.724 
     1314        2:1        2:1       1 
     1315        1:0        1:0       0.969 
     1316        2:1        8:7   +   0.497 
     1317       10:9       10:9       0.922 
     1318        1:0        1:0       0.981 
     1319       10:9       10:9       0.991 
     1320        9:8        9:8       0.997 
     1321        7:6        7:6       0.962 
     1322        2:1        2:1       0.999 
     1323        5:4        5:4       0.713 
     1324        2:1        2:1       1 
     1325       10:9       10:9       0.728 
     1326        1:0        1:0       0.98 
     1327        1:0        1:0       0.997 
     1328        2:1        2:1       0.999 
     1329        7:6        7:6       0.567 
     1330        5:4        5:4       0.995 
     1331        9:8        9:8       0.963 
     1332        5:4        5:4       0.896 
     1333        2:1        2:1       0.966 
     1334        9:8        9:8       0.995 
     1335        8:7        8:7       0.997 
     1336        2:1        2:1       0.999 
     1337        2:1        2:1       0.996 
     1338       10:9       10:9       0.991 
     1339        1:0        1:0       0.996 
     1340       10:9       10:9       0.988 
     1341        9:8        9:8       0.966 
     1342        9:8        9:8       0.902 
     1343        2:1        2:1       0.999 
     1344       10:9       10:9       0.663 
     1345        2:1        2:1       0.998 
     1346        5:4        5:4       0.945 
     1347       10:9       10:9       0.972 
     1348        9:8        9:8       0.981 
     1349        6:5        6:5       0.989 
     1350        6:5        6:5       0.571 
     1351       10:9       10:9       0.978 
     1352        9:8        9:8       0.988 
     1353       10:9       10:9       0.988 
     1354        2:1        2:1       0.976 
     1355       10:9       10:9       0.598 
     1356       10:9       10:9       0.911 
     1357       10:9       10:9       0.977 
     1358        5:4        5:4       0.57 
     1359        6:5        6:5       0.931 
     1360        5:4        5:4       0.926 
     1361        6:5        6:5       0.996 
     1362        2:1        2:1       0.983 
     1363        2:1        2:1       0.999 
     1364        2:1        2:1       0.989 
     1365       10:9       10:9       0.997 
     1366        9:8        9:8       0.973 
     1367        2:1        2:1       0.998 
     1368        6:5        6:5       0.967 
     1369       10:9       10:9       0.999 
     1370        2:1        6:5   +   0.482 
     1371       10:9       10:9       0.983 
     1372       10:9       10:9       0.996 
     1373       10:9       10:9       0.999 
     1374        6:5        6:5       0.994 
     1375        5:4        6:5   +   0.632 
     1376        6:5       10:9   +   0.748 
     1377        1:0        1:0       0.993 
     1378        1:0        2:1   +   0.961 
     1379        2:1        2:1       1 
     1380        6:5        6:5       0.966 
     1381        7:6        7:6       0.79 
     1382        9:8        9:8       0.989 
     1383       10:9       10:9       0.844 
     1384        5:4        6:5   +   0.849 
     1385        2:1        2:1       0.991 
     1386       10:9        5:4   +   0.892 
     1387        2:1        2:1       0.758 
     1388        5:4        5:4       0.987 
     1389        2:1        2:1       1 
     1390       10:9       10:9       0.623 
     1391        6:5        6:5       0.978 
     1392        2:1        2:1       1 
     1393        2:1        2:1       0.708 
     1394       10:9       10:9       0.796 
     1395        2:1        2:1       0.998 
     1396        6:5        6:5       0.982 
     1397        2:1        2:1       0.981 
     1398        3:2       10:9   +   0.563 
     1399        6:5        6:5       0.995 
     1400        5:4        1:0   +   0.689 
     1401        6:5        6:5       0.995 
     1402        2:1        2:1       1 
     1403       10:9       10:9       0.997 
     1404       10:9       10:9       0.999 
     1405        4:3        4:3       0.815 
     1406        6:5        6:5       0.958 
     1407        9:8        9:8       0.949 
     1408        6:5        6:5       0.578 
     1409       10:9       10:9       0.985 
     1410        2:1        2:1       0.999 
     1411       10:9       10:9       0.597 
     1412        5:4       10:9   +   0.989 
     1413        2:1        2:1       0.911 
     1414        9:8        9:8       0.902 
     1415        6:5        6:5       0.909 
     1416        5:4        5:4       0.9 
     1417        6:5        6:5       0.993 
     1418        6:5        6:5       0.995 
     1419        6:5       10:9   +   0.902 
     1420        2:1        2:1       0.961 
     1421        5:4        5:4       0.542 
     1422       10:9       10:9       0.991 
     1423        6:5        6:5       0.983 
     1424        2:1        2:1       0.992 
     1425        5:4       10:9   +   0.509 
     1426        2:1        2:1       0.997 
     1427        5:4        5:4       0.979 
     1428       10:9       10:9       0.998 
     1429        2:1        2:1       0.999 
     1430        2:1        2:1       0.999 
     1431        1:0        1:0       0.984 
     1432        8:7        8:7       0.999 
     1433       10:9       10:9       0.998 
     1434        2:1        2:1       0.998 
     1435        5:4        5:4       0.983 
     1436       10:9       10:9       0.997 
     1437        8:7        8:7       1 
     1438        2:1        2:1       0.999 
     1439        1:0        1:0       0.987 
     1440        4:3        4:3       0.99 
     1441        2:1        8:7   +   0.991 
     1442       10:9       10:9       0.904 
     1443        2:1        8:7   +   0.573 
     1444       10:9       10:9       0.999 
     1445        2:1        2:1       0.995 
     1446        2:1        2:1       1 
     1447        1:0        1:0       0.749 
     1448        4:3        4:3       0.987 
     1449        2:1        2:1       0.997 
     1450        2:1        2:1       0.992 
     1451        2:1        2:1       0.995 
     1452        2:1        2:1       1 
     1453       10:9       10:9       0.992 
     1454        2:1        2:1       1 
     1455       10:9       10:9       0.95 
     1456        6:5        6:5       0.974 
     1457        2:1        2:1       0.996 
     1458        1:0        1:0       0.998 
     1459        2:1        2:1       0.999 
     1460        2:1        2:1       0.994 
     1461       10:9       10:9       0.869 
     1462        2:1        2:1       0.949 
     1463        9:8        9:8       0.683 
     1464       10:9       10:9       0.998 
     1465        2:1        2:1       0.99 
     1466        9:8        9:8       0.992 
     1467        3:2        3:2       0.561 
     1468        9:8        9:8       0.991 
     1469        6:5        6:5       0.998 
     1470        6:5        6:5       0.91 
     1471        4:3        4:3       0.983 
     1472        6:5        6:5       0.792 
     1473        1:0        1:0       0.697 
     1474        2:1        2:1       0.998 
     1475       10:9       10:9       0.739 
     1476        7:6        7:6       0.826 
     1477       10:9       10:9       0.999 
     1478        9:8        9:8       0.942 
     1479        5:4        5:4       0.704 
     1480       10:9       10:9       0.995 
     1481       10:9       10:9       0.467 
     1482        3:2        3:2       0.921 
     1483        9:8        9:8       0.795 
     1484       10:9       10:9       0.761 
     1485        2:1        2:1       1 
     1486        2:1        2:1       1 
     1487        2:1        2:1       0.993 
     1488       10:9       10:9       0.982 
     1489        9:8        9:8       0.986 
     1490        9:8        9:8       0.865 
     1491       10:9       10:9       0.986 
     1492        6:5        5:4   +   0.556 
     1493        8:7        8:7       0.994 
     1494        2:1        2:1       0.993 
     1495       10:9       10:9       0.977 
     1496        9:8        9:8       0.954 
     1497        5:4        5:4       0.969 
     1498        2:1        2:1       0.987 
     1499       10:9       10:9       0.997 
     1500        2:1        2:1       0.979 
     1501        9:8        9:8       0.971 
     1502        3:2        3:2       0.969 
     1503        7:6        7:6       0.796 
     1504        5:4        5:4       0.99 
     1505        5:4       10:9   +   0.443 
     1506        8:7        2:1   +   0.793 
     1507        9:8        9:8       0.948 
     1508        9:8        9:8       0.891 
     1509        2:1        2:1       0.987 
     1510        2:1        2:1       0.961 
     1511        2:1        2:1       0.995 
     1512        2:1        2:1       0.999 
     1513       10:9       10:9       0.857 
     1514        1:0        5:4   +   0.522 
     1515       10:9       10:9       0.997 
     1516        2:1        2:1       0.985 
     1517        9:8        9:8       0.994 
     1518        2:1        2:1       0.985 
     1519        2:1        2:1       0.999 
     1520        5:4        5:4       0.944 
     1521        2:1        2:1       0.997 
     1522        8:7        8:7       0.985 
     1523        6:5        6:5       0.971 
     1524       10:9       10:9       0.998 
     1525        8:7        8:7       0.994 
     1526        5:4       10:9   +   0.683 
     1527        5:4        5:4       0.834 
     1528       10:9       10:9       0.885 
     1529       10:9       10:9       0.546 
     1530       10:9       10:9       0.984 
     1531        2:1        2:1       0.998 
     1532        8:7        8:7       0.998 
     1533        5:4        5:4       0.962 
     1534       10:9       10:9       1 
     1535        6:5        6:5       0.965 
     1536       10:9       10:9       0.997 
     1537       10:9       10:9       0.981 
     1538       10:9       10:9       0.988 
     1539       10:9        5:4   +   0.739 
     1540        4:3        4:3       0.977 
     1541       10:9       10:9       0.999 
     1542        3:2        9:8   +   0.604 
     1543        1:0        5:4   +   0.585 
     1544        8:7        8:7       0.975 
     1545       10:9       10:9       0.99 
     1546        6:5        6:5       0.845 
     1547        4:3        4:3       0.929 
     1548        2:1       10:9   +   0.799 
     1549        6:5        6:5       0.98 
     1550       10:9       10:9       0.989 
     1551        2:1        2:1       0.992 
     1552        6:5        6:5       0.988 
     1553       10:9       10:9       0.997 
     1554        2:1        2:1       0.998 
     1555        6:5        6:5       0.972 
     1556        2:1        2:1       0.968 
     1557        9:8        9:8       0.799 
     1558        2:1        2:1       0.998 
     1559       10:9       10:9       0.995 
     1560        2:1        2:1       0.985 
     1561        2:1        2:1       0.991 
     1562        2:1        2:1       0.993 
     1563        2:1        2:1       0.999 
     1564        5:4        5:4       0.879 
     1565        4:3        4:3       0.896 
     1566        2:1        2:1       0.998 
     1567        2:1        2:1       0.997 
     1568       10:9       10:9       0.944 
     1569        5:4        5:4       0.925 
     1570       10:9       10:9       0.999 
     1571        2:1        2:1       0.999 
     1572        9:8        9:8       0.987 
     1573        2:1        2:1       0.995 
     1574        8:7        8:7       0.996 
     1575        1:0        1:0       0.999 
     1576        1:0        1:0       0.619 
     1577        5:4        1:0   +   0.974 
     1578       10:9       10:9       0.994 
     1579        9:8        9:8       0.954 
     1580        2:1        2:1       1 
     1581       10:9       10:9       0.929 
     1582        1:0        1:0       0.996 
     1583       10:9       10:9       0.906 
     1584        9:8        9:8       0.991 
     1585        1:0        1:0       0.874 
     1586        5:4        5:4       0.994 
     1587        4:3        4:3       0.979 
     1588       10:9       10:9       0.999 
     1589       10:9       10:9       0.982 
     1590        2:1        2:1       0.998 
     1591       10:9       10:9       0.977 
     1592       10:9       10:9       0.997 
     1593       10:9       10:9       0.978 
     1594       10:9       10:9       0.993 
     1595       10:9       10:9       0.825 
     1596       10:9       10:9       0.998 
     1597        1:0        1:0       0.66 
     1598        2:1        2:1       0.999 
     1599       10:9       10:9       0.842 
     1600        1:0        1:0       0.972 
     1601        9:8        9:8       0.866 
     1602        2:1        2:1       0.811 
     1603        2:1        2:1       0.882 
     1604        7:6        7:6       0.977 
     1605        2:1        2:1       0.999 
     1606        6:5        6:5       0.963 
     1607        4:3        4:3       0.881 
     1608       10:9       10:9       0.997 
     1609       10:9       10:9       0.999 
     1610        5:4        5:4       0.993 
     1611       10:9       10:9       0.998 
     1612        9:8        9:8       0.963 
     1613       10:9        5:4   +   0.626 
     1614        1:0        1:0       0.996 
     1615        6:5        6:5       0.993 
     1616       10:9       10:9       0.964 
     1617        2:1        2:1       0.999 
     1618        6:5        6:5       0.977 
     1619        5:4        5:4       0.865 
     1620        9:8        9:8       0.992 
     1621        5:4        5:4       0.991 
     1622       10:9       10:9       0.998 
     1623        2:1        2:1       0.999 
     1624        5:4        5:4       0.961 
     1625       10:9       10:9       0.999 
     1626       10:9       10:9       0.876 
     1627       10:9       10:9       0.946 
     1628       10:9        9:8   +   0.811 
     1629       10:9       10:9       0.992 
     1630       10:9       10:9       0.999 
     1631       10:9       10:9       0.998 
     1632        5:4        5:4       0.88 
     1633       10:9       10:9       1 
     1634        1:0        1:0       0.918 
     1635        2:1        2:1       1 
     1636       10:9       10:9       0.939 
     1637       10:9       10:9       0.965 
     1638        2:1        2:1       0.999 
     1639        5:4        5:4       0.987 
     1640        1:0        1:0       0.98 
     1641       10:9       10:9       0.961 
     1642       10:9       10:9       0.913 
     1643       10:9       10:9       0.825 
     1644       10:9       10:9       0.529 
     1645        2:1        2:1       0.998 
     1646        2:1        2:1       0.997 
     1647        2:1        2:1       1 
     1648        2:1        2:1       0.916 
     1649       10:9       10:9       1 
     1650       10:9       10:9       0.99 
     1651        5:4        5:4       0.979 
     1652       10:9        6:5   +   0.457 
     1653        5:4        5:4       0.787 
     1654       10:9       10:9       0.812 
     1655        5:4        5:4       0.958 
